BGC_features	SMILES
['PF03621.16', 'PF02668.19', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF13193.9', 'PF00668.23', 'PF00501.31', 'PF00550.28', 'PF13193.9', 'PF13434.9', 'PF13454.9', 'PF02738.21', 'PF20256.1']	NCCCCNC(=O)C(CCCN(O)C=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(N)CCCN(O)C=O)C(O)C(=O)O
['PF00107.29', 'PF16884.8', 'PF13602.9', 'PF13450.9', 'PF01593.27', 'PF01593.27', 'PF13450.9', 'PF00890.27', 'PF01593.27', 'PF13450.9', 'PF00668.23', 'PF00501.31', 'PF00109.29', 'PF00698.24', 'PF14765.9', 'PF08659.13', 'PF02801.25', 'PF00550.28', 'PF00975.23', 'PF16197.8', 'PF13193.9', 'PF00106.28', 'PF00108.26']	CCC1CC2CC3C4CC=CC(=O)NCCC(O)C5NC(=O)C(=C(O)C=CC4CC(O)C3C2C1C)C5=O
['PF02738.21', 'PF20256.1', 'PF01315.25', 'PF02515.20', 'PF00501.31', 'PF13193.9', 'PF00384.25', 'PF01568.24', 'PF04879.19', 'PF00282.22', 'PF00266.22', 'PF08240.15', 'PF00107.29', 'PF16912.8', 'PF01266.27', 'PF13450.9', 'PF01761.23', 'PF13685.9', 'PF00465.22', 'PF00501.31', 'PF04055.24', 'PF06969.19', 'PF08241.15', 'PF13649.9', 'PF13847.9', 'PF08242.15', 'PF01209.21', 'PF13489.9', 'PF05175.17', 'PF06325.16', 'PF08003.14', 'PF03141.19', 'PF10294.12', 'PF02527.18', 'PF00795.25', 'PF13649.9', 'PF08241.15', 'PF13847.9', 'PF08242.15', 'PF05724.14', 'PF13489.9', 'PF05175.17', 'PF01209.21', 'PF02353.23', 'PF05148.18', 'PF07859.16', 'PF20434.1', 'PF00326.24']	COC1=CC2=C(C=C1O)NC(C(=O)N1CC3CC34C1=CC(=O)C1=C4C=C(C(=O)N3CCC4=C5C=C(SC(C)=O)NC5=C(OC)C(O)=C43)N1)=C2
['PF13641.9', 'PF00535.29', 'PF13632.9', 'PF13506.9', 'PF03142.18', 'PF02540.20', 'PF00795.25', 'PF00733.24', 'PF00009.30', 'PF03764.21', 'PF00679.27', 'PF14492.9', 'PF01926.26', 'PF16658.8', 'PF01494.22', 'PF01266.27', 'PF13450.9', 'PF10604.12', 'PF03364.23', 'PF00106.28', 'PF13561.9', 'PF08659.13', 'PF00501.31', 'PF13193.9', 'PF00891.21', 'PF16864.8', 'PF00155.24', 'PF01494.22', 'PF01266.27', 'PF00070.30', 'PF03486.17', 'PF00890.27', 'PF00891.21', 'PF16864.8', 'PF08242.15', 'PF13489.9', 'PF08241.15', 'PF13649.9', 'PF01494.22', 'PF04820.17', 'PF13450.9', 'PF07992.17', 'PF01613.21', 'PF00733.24', 'PF13537.9', 'PF13522.9', 'PF12481.11', 'PF00550.28', 'PF00109.29', 'PF02801.25', 'PF00109.29', 'PF02801.25', 'PF01494.22', 'PF01266.27', 'PF00890.27', 'PF13450.9', 'PF05834.15', 'PF01946.20', 'PF07992.17', 'PF00070.30', 'PF03486.17', 'PF12831.10', 'PF13738.9']	CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)C4=C(O)C=CC(Cl)=C4C(C)(O)C3CC12
['PF00109.29', 'PF02801.25', 'PF00550.28', 'PF08659.13', 'PF14765.9', 'PF16197.8', 'PF00108.26', 'PF08242.15', 'PF00106.28', 'PF13649.9', 'PF13847.9', 'PF13489.9', 'PF08241.15', 'PF13561.9', 'PF00501.31', 'PF00668.23', 'PF00109.29', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF13193.9', 'PF00108.26', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF16197.8', 'PF00550.28', 'PF00108.26', 'PF00753.30', 'PF12706.10', 'PF00698.24', 'PF03060.18', 'PF00550.28', 'PF02801.25', 'PF00109.29', 'PF08540.13', 'PF01154.20', 'PF08545.13', 'PF00195.22', 'PF00378.23', 'PF16113.8', 'PF00378.23', 'PF16113.8', 'PF00109.29', 'PF02801.25', 'PF14765.9', 'PF08659.13', 'PF00550.28', 'PF16197.8', 'PF08242.15', 'PF00108.26', 'PF00106.28', 'PF13649.9', 'PF13489.9', 'PF13847.9', 'PF08241.15', 'PF13561.9', 'PF10017.12', 'PF00109.29', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00108.26', 'PF08659.13', 'PF00109.29', 'PF14765.9', 'PF02801.25', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF08242.15', 'PF16197.8', 'PF13649.9', 'PF08241.15', 'PF13489.9', 'PF00108.26', 'PF13847.9', 'PF13561.9', 'PF00106.28', 'PF08659.13', 'PF01370.24', 'PF04321.20', 'PF01113.23', 'PF01118.27', 'PF03109.19', 'PF01636.26']	C=C1NC(=O)C2=C1C(C(=O)O)C(C)(C(C)=CC=CC=CC(C)C(O)CC)C1=C2C(C)C(O)CC1
['PF00550.28', 'PF00698.24', 'PF00733.24', 'PF13537.9', 'PF13522.9', 'PF12481.11', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF13561.9', 'PF00108.26', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF00550.28', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF13561.9', 'PF08242.15', 'PF00108.26', 'PF13649.9', 'PF08241.15', 'PF13847.9', 'PF13489.9', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF13847.9', 'PF13489.9', 'PF13649.9', 'PF08242.15', 'PF08241.15', 'PF02353.23', 'PF00891.21', 'PF05175.17', 'PF00109.29', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF13561.9', 'PF08242.15', 'PF00108.26', 'PF13649.9', 'PF08241.15', 'PF13489.9', 'PF13847.9', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF00975.23', 'PF00108.26', 'PF13561.9', 'PF13602.9', 'PF00107.29', 'PF08242.15', 'PF01370.24', 'PF13649.9', 'PF13489.9', 'PF08241.15', 'PF08240.15', 'PF13847.9', 'PF00698.24']	COC1CC=CC=CCC(C)C(O)C(C)C(O)C(C)C(O)CC(=O)OC(C(C)C(O)C=C(C)C=CC=CC=CC=CC=CCC(O)C=C(C)CCC(=O)O)CC(O)CCC1
['PF02826.22', 'PF00389.33', 'PF00668.23', 'PF00501.31', 'PF00109.29', 'PF00202.24', 'PF00698.24', 'PF02801.25', 'PF00550.28', 'PF08242.15', 'PF16197.8', 'PF13489.9', 'PF13649.9', 'PF08241.15', 'PF13847.9', 'PF00891.21', 'PF00398.23', 'PF18558.4', 'PF01209.21', 'PF13193.9', 'PF00108.26', 'PF00109.29', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF00698.24', 'PF16197.8', 'PF00550.28', 'PF08242.15', 'PF00106.28', 'PF13561.9', 'PF13649.9', 'PF00108.26', 'PF13847.9', 'PF13489.9', 'PF08241.15', 'PF16363.8', 'PF10017.12', 'PF00891.21', 'PF01209.21', 'PF00109.29', 'PF00501.31', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF08242.15', 'PF13489.9', 'PF13649.9', 'PF13847.9', 'PF08241.15', 'PF00106.28', 'PF13561.9', 'PF01370.24', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF13193.9', 'PF12593.11', 'PF08242.15', 'PF13649.9', 'PF08241.15', 'PF13847.9', 'PF13489.9', 'PF05175.17', 'PF05401.14', 'PF00668.23', 'PF00501.31', 'PF00550.28', 'PF13193.9', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF00975.23', 'PF13193.9', 'PF07859.16', 'PF08241.15', 'PF13649.9', 'PF13847.9', 'PF02353.23', 'PF01209.21', 'PF13489.9', 'PF03141.19', 'PF08242.15', 'PF05175.17', 'PF01135.22', 'PF01596.20']	C=C1C(=O)NC(C)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C=CC(C)=CC(C)C(CC2=CC=CC=C2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C
['PF00501.31', 'PF00550.28', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF00108.26', 'PF00109.29', 'PF02801.25', 'PF08540.13', 'PF01154.20', 'PF00195.22', 'PF00378.23', 'PF16113.8', 'PF00109.29', 'PF00378.23', 'PF00698.24', 'PF00975.23', 'PF02801.25', 'PF00107.29', 'PF16113.8', 'PF13602.9', 'PF16197.8', 'PF00550.28', 'PF08240.15', 'PF00108.26', 'PF12697.10', 'PF02797.18', 'PF08392.15', 'PF08541.13', 'PF00195.22', 'PF04140.17', 'PF04191.16', 'PF16861.8', 'PF02543.18']	CC1CCCCC(CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)C(OC(N)=O)C(C)CCCCC(CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)C1OC(N)=O
['PF01397.24', 'PF03936.19', 'PF00067.25', 'PF13561.9', 'PF00106.28', 'PF08659.13', 'PF13561.9', 'PF00106.28', 'PF08659.13', 'PF03936.19', 'PF01397.24', 'PF19086.3', 'PF17140.7', 'PF00067.25']	C=CC1(C)CCC2C(=CC3OC(=O)C4(C)C(=O)CCC2(C)C34)C1
['PF08130.14', 'PF00082.25', 'PF04738.16', 'PF14028.9', 'PF05147.16']	CC=C(NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(=CC)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)C(CS)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(CS)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)NC(=O)C1CCCN1C(=O)CNC(=O)C(C)NC(=O)C(=O)CC)C(C)CC)C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(=O)NC(C(=O)NC(CS)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CS)C(=O)NC(CCCCN)C(=O)O)C(C)C)=C(C)S
['PF02668.19']	CNC1=CC2=CC(O)=C(O)C=C2OC1=O
['PF00067.25', 'PF00550.28', 'PF00501.31', 'PF13847.9', 'PF13489.9', 'PF13649.9', 'PF08241.15', 'PF08242.15', 'PF01135.22', 'PF02353.23', 'PF01209.21', 'PF13578.9', 'PF13679.9', 'PF05175.17', 'PF08704.13', 'PF06325.16', 'PF02475.19', 'PF01739.21', 'PF00067.25', 'PF13602.9', 'PF00107.29', 'PF08240.15', 'PF16884.8', 'PF00106.28', 'PF13434.9', 'PF07992.17', 'PF13738.9', 'PF00668.23', 'PF00501.31', 'PF13193.9', 'PF00550.28', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF00550.28', 'PF13602.9', 'PF16197.8', 'PF00107.29', 'PF08240.15', 'PF00108.26', 'PF00106.28', 'PF13561.9', 'PF01262.24', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF08659.13', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF08990.14', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF01370.24', 'PF13602.9', 'PF13561.9', 'PF00108.26', 'PF16363.8', 'PF00107.29', 'PF02719.18', 'PF03435.21', 'PF05368.16', 'PF08990.14', 'PF08240.15', 'PF18369.4', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF01370.24', 'PF00108.26', 'PF02719.18', 'PF16363.8', 'PF03435.21', 'PF18369.4', 'PF08990.14', 'PF13460.9', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF18369.4', 'PF14765.9', 'PF01370.24', 'PF13561.9', 'PF02719.18', 'PF00107.29', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF00698.24', 'PF00106.28', 'PF13561.9', 'PF16197.8', 'PF00550.28', 'PF00698.24', 'PF13561.9', 'PF00106.28', 'PF01370.24', 'PF08659.13', 'PF04321.20', 'PF08541.13', 'PF08545.13', 'PF00108.26', 'PF00550.28', 'PF00733.24', 'PF13537.9', 'PF13522.9', 'PF00975.23', 'PF12697.10', 'PF12146.11', 'PF03959.16', 'PF00107.29', 'PF13602.9', 'PF08240.15', 'PF03621.16', 'PF01494.22', 'PF01266.27', 'PF00070.30', 'PF03486.17', 'PF00890.27', 'PF13450.9', 'PF07992.17', 'PF01946.20', 'PF13738.9']	CCC1CC(C)C2(NC1=O)OC(CC(O)C(C)CCC=CC=C(C)C1CC=CC=CC(O)C(C)C(O)C(CCC(C)=O)C(=O)NC(C(C)C)C(=O)NC(CC3=CC(O)=CC=C3)C(=O)N3CCCC(N3)C(=O)O1)C(C)C(O)C2C
['PF00067.25', 'PF00067.25', 'PF19086.3', 'PF03936.19', 'PF00067.25', 'PF00106.28', 'PF13561.9', 'PF08659.13', 'PF13460.9']	CCCCCCC(=O)C=CC(=O)OC1C(C)OC2(C)C(OC(C)=O)C(C)C(=O)OC2C1C
['PF08241.15', 'PF13649.9', 'PF08242.15', 'PF13489.9', 'PF13847.9', 'PF01209.21', 'PF01266.27', 'PF07992.17', 'PF13450.9', 'PF01262.24', 'PF00890.27', 'PF00070.30', 'PF08659.13', 'PF14765.9', 'PF00550.28', 'PF00106.28', 'PF01370.24', 'PF01073.22', 'PF16363.8', 'PF13460.9', 'PF13561.9', 'PF02719.18', 'PF07993.15', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF02719.18', 'PF00501.31', 'PF13193.9', 'PF00698.24', 'PF00550.28', 'PF00501.31', 'PF13193.9', 'PF00067.25', 'PF00109.29', 'PF08659.13', 'PF14765.9', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF01370.24', 'PF13561.9', 'PF02719.18', 'PF08990.14', 'PF00561.23', 'PF12697.10', 'PF12146.11', 'PF00109.29', 'PF08659.13', 'PF14765.9', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF00975.23', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF08990.14', 'PF01370.24', 'PF13561.9', 'PF16363.8', 'PF02719.18', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF08990.14', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00108.26', 'PF08990.14', 'PF13561.9', 'PF00550.28', 'PF01370.24', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00108.26', 'PF00106.28', 'PF13561.9', 'PF01370.24', 'PF16363.8', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF08990.14', 'PF00108.26']	CCCC=CC=CCC1CC=CC=C(C)C=CC=CC(O)C(O)C=C(C)C=CC=CC(=O)N1
['PF00109.29', 'PF08659.13', 'PF14765.9', 'PF00698.24', 'PF02801.25', 'PF13602.9', 'PF00107.29', 'PF00106.28', 'PF16197.8', 'PF13561.9', 'PF13489.9', 'PF00550.28', 'PF08240.15', 'PF08242.15', 'PF08241.15', 'PF00108.26', 'PF12697.10']	CC=CCCCCCC1C=C2C3(CC(=O)O)CC4=C(C(=O)OC4=O)C(C1CC(O)C(=O)CCC=CC)C2(O)OC3=O
['PF00675.23', 'PF05193.24', 'PF01636.26', 'PF02441.22', 'PF00296.23', 'PF00891.21', 'PF17914.4', 'PF01636.26']	C=C1NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C2CSC(C)C(N(C)C)C(=O)NC(=CC)C(=O)C3CCCC3C(=O)NC(C(C)C)C(=O)N2)C(C)C)CSCC(C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC2C(=O)NC(CC3=CC=C(O)C=C3)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NCC(=O)NC=CSC2C)C(C)CC)NC(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)C(=CC)NC1=O
['PF06330.14', 'PF19086.3']	CC1(C)CCCC2(C)C3CCC2(C)C(O)C31
['PF00109.29', 'PF02801.25', 'PF00109.29', 'PF02801.25', 'PF00550.28', 'PF00733.24', 'PF13537.9', 'PF13522.9', 'PF01041.20', 'PF00266.22', 'PF08541.13', 'PF08545.13', 'PF13561.9', 'PF00106.28', 'PF08659.13', 'PF06722.15', 'PF00201.21', 'PF08028.14', 'PF00441.27', 'PF02771.19', 'PF00891.21', 'PF16864.8', 'PF13649.9', 'PF06722.15', 'PF00201.21', 'PF01370.24', 'PF16363.8', 'PF04321.20', 'PF07993.15', 'PF01073.22', 'PF13460.9', 'PF02719.18', 'PF00908.20', 'PF06722.15', 'PF00201.21', 'PF06722.15', 'PF00201.21', 'PF06722.15', 'PF04101.19', 'PF00483.26', 'PF12804.10', 'PF01408.25', 'PF16363.8', 'PF01370.24', 'PF01073.22', 'PF02719.18', 'PF04321.20', 'PF07993.15', 'PF13460.9', 'PF03435.21', 'PF00698.24', 'PF10604.12', 'PF03364.23', 'PF01494.22', 'PF01266.27', 'PF00070.30', 'PF07992.17', 'PF13450.9', 'PF12831.10', 'PF01946.20', 'PF00890.27', 'PF03486.17', 'PF00501.31', 'PF13193.9', 'PF01039.25', 'PF06833.14']	COC1=CC(=O)C2=C(C=C3CC4C(OC5CCC(OC6CCC(OC7CCC(OC8CCC(OC(=O)C(C)(C)C(=O)O)C(C)O8)C(C)O7)C(C)O6)C(C)O5)C(O)=C(C(C)=O)C(=O)C4(OC4CCC(OC5CCC(O)C(C)O5)C(C)O4)C(=O)C3=C2O)C1=O
['PF01380.25', 'PF13522.9', 'PF13537.9', 'PF13230.9', 'PF00501.31', 'PF00109.29', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00668.23', 'PF00501.31', 'PF00550.28', 'PF13193.9', 'PF07247.15', 'PF00668.23', 'PF00501.31', 'PF00550.28', 'PF13193.9', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF13193.9', 'PF00975.23', 'PF11187.11', 'PF00248.24']	CCCCCCCCCCCCC(=O)NC1C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(C(C)C)C(=O)OC1C
['PF00724.23', 'PF13632.9', 'PF13641.9', 'PF00535.29', 'PF13506.9', 'PF00106.28', 'PF13561.9', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF01565.26', 'PF08031.15', 'PF00501.31', 'PF00668.23', 'PF00550.28']	CC(=O)OC(C)C1=NC2=CC=CC=C2C(=O)N1C1CC2(OC1=O)C1=CC=CC=C1N1C(=O)C(C)(C)N(O)C12
['PF00501.31', 'PF00668.23', 'PF00550.28', 'PF01565.26', 'PF08031.15', 'PF00501.31', 'PF00668.23', 'PF00550.28']	CC1NC2N(C1=O)C1=CC=CC=C1C2(O)CC1C(=O)NC(C)C2=NC3=C(C=CC=C3)C(=O)N21
['PF19086.3', 'PF00348.20', 'PF00067.25', 'PF00067.25']	CC1=CCCC(C)=CCC(C(C)(C)O)CCC(C)=CCC1
['PF00857.23', 'PF00501.31', 'PF13193.9', 'PF00425.21', 'PF00117.31', 'PF04715.16', 'PF07722.16', 'PF00733.24', 'PF13537.9', 'PF13522.9', 'PF08659.13', 'PF00698.24', 'PF14765.9', 'PF00975.23', 'PF00550.28', 'PF00106.28', 'PF13561.9', 'PF12697.10', 'PF00109.29', 'PF02801.25', 'PF00108.26', 'PF08990.14', 'PF00698.24', 'PF14765.9', 'PF08659.13', 'PF00550.28', 'PF00106.28', 'PF13561.9', 'PF01370.24', 'PF02719.18', 'PF16363.8', 'PF00109.29', 'PF02801.25', 'PF16197.8', 'PF00698.24', 'PF00550.28', 'PF00108.26']	CNC(=O)C=CC(C)=CC(C)C(=O)C1=CC=C(N(C)C)C=C1
['PF00348.20', 'PF19086.3', 'PF00067.25']	CC1C(O)CC(=O)C2(C)CCC3C4C(C)(C)CCC4(C)CC132
['PF00501.31', 'PF00550.28', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF00108.26', 'PF00109.29', 'PF02801.25', 'PF08540.13', 'PF01154.20', 'PF00195.22', 'PF00378.23', 'PF16113.8', 'PF00109.29', 'PF00378.23', 'PF00698.24', 'PF00975.23', 'PF02801.25', 'PF00107.29', 'PF16113.8', 'PF13602.9', 'PF16197.8', 'PF00550.28', 'PF08240.15', 'PF00108.26', 'PF12697.10', 'PF02797.18', 'PF08392.15', 'PF08541.13', 'PF00195.22', 'PF04140.17', 'PF04191.16', 'PF16861.8', 'PF02543.18']	CC1CCCCC(CCCCBr)C2=C(O)C=C(C=C2O)C(OC(N)=O)C(C)CCCCC(CCCC(Br)Br)C2=C(O)C=C(C=C2O)C1O
['PF00501.31', 'PF00668.23', 'PF13193.9', 'PF00550.28', 'PF00668.23', 'PF00501.31', 'PF00550.28', 'PF13193.9', 'PF00668.23', 'PF00501.31', 'PF00550.28', 'PF13193.9', 'PF08242.15', 'PF13847.9', 'PF13649.9', 'PF08241.15', 'PF13489.9', 'PF05175.17', 'PF01209.21', 'PF00668.23', 'PF00501.31', 'PF00975.23', 'PF00550.28', 'PF18563.4', 'PF13193.9', 'PF12697.10']	CCC(C)C1NC(=O)C(NC(=O)NC(C(=O)O)C(C)C)CCCCNC(=O)C(CC2=CC=CC=C2)NC(=O)C(C)N(C)C(=O)C(CC2=CNC3=CC=CC=C23)NC1=O
['PF00109.29', 'PF08659.13', 'PF14765.9', 'PF00698.24', 'PF02801.25', 'PF13602.9', 'PF16197.8', 'PF00107.29', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF08240.15', 'PF00108.26', 'PF16363.8', 'PF00291.28', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF00108.26', 'PF00109.29', 'PF00698.24', 'PF14765.9', 'PF08659.13', 'PF02801.25', 'PF13602.9', 'PF00107.29', 'PF00106.28', 'PF16197.8', 'PF00550.28', 'PF13561.9', 'PF00108.26', 'PF08240.15', 'PF00501.31', 'PF00668.23', 'PF18563.4', 'PF00550.28', 'PF00881.27', 'PF13193.9', 'PF00698.24', 'PF00109.29', 'PF14765.9', 'PF08659.13', 'PF02801.25', 'PF13602.9', 'PF16197.8', 'PF00107.29', 'PF00550.28', 'PF00106.28', 'PF13561.9', 'PF08240.15', 'PF00108.26', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF00108.26', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF00109.29', 'PF00698.24', 'PF14765.9', 'PF02801.25', 'PF00975.23', 'PF16197.8', 'PF00550.28', 'PF12697.10', 'PF00108.26', 'PF00067.25', 'PF00067.25', 'PF00698.24', 'PF00109.29', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF08242.15', 'PF13847.9', 'PF13649.9', 'PF13489.9', 'PF08241.15', 'PF00108.26', 'PF05175.17', 'PF01209.21', 'PF00501.31', 'PF00668.23', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF18563.4', 'PF13649.9', 'PF00106.28', 'PF08241.15', 'PF08242.15', 'PF13847.9', 'PF13193.9', 'PF13561.9', 'PF13489.9', 'PF05175.17', 'PF00108.26', 'PF05401.14']	C=C(CC=CC=CCCC=CCN(C)C(=O)C=C(C)OC)C1=NC(CC(C)C2OC(=O)C3=C(O)C(C)=CC=C3C2O)=CO1
['PF16861.8', 'PF02543.18', 'PF01408.25', 'PF02668.19', 'PF08943.13', 'PF01370.24', 'PF16363.8', 'PF02738.21', 'PF20256.1', 'PF01315.25', 'PF01636.26', 'PF19974.2', 'PF16363.8', 'PF01370.24', 'PF01073.22', 'PF04321.20', 'PF02719.18', 'PF07993.15', 'PF13460.9', 'PF00106.28', 'PF05368.16', 'PF00483.26', 'PF12804.10', 'PF07959.15', 'PF08241.15', 'PF13649.9', 'PF08242.15', 'PF00398.23', 'PF13489.9', 'PF01209.21', 'PF04055.24', 'PF02310.22', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF13193.9', 'PF00668.23', 'PF00144.27']	COC1C(O)C(N2C=CC(=O)NC2=O)OC1C(OC1OC(C(=O)NC2CCCCNC2=O)=CC(O)C1O)C(N)=O
['PF00067.25', 'PF00206.23', 'PF10397.12']	C=C(CC(=O)O)C(=O)O
['PF00975.23', 'PF12697.10', 'PF12146.11', 'PF01648.23', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF13193.9', 'PF00668.23', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02668.19', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF13561.9', 'PF00108.26', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF13193.9', 'PF00668.23', 'PF00501.31', 'PF13193.9', 'PF00550.28', 'PF00501.31', 'PF00668.23', 'PF00975.23', 'PF13193.9', 'PF00550.28', 'PF00561.23', 'PF13434.9', 'PF13454.9', 'PF07992.17', 'PF13523.9', 'PF13302.10']	CCCCCCCCCCCC(=O)NC(CCCN(O)C(C)=O)C1OC(=O)C(CCCN(O)C(C)=O)NC(=O)C(CCCNC(N)=O)NC(=O)C(CCCN)NC(=O)C(CO)NC(=O)C(C(O)C(=O)O)NC(=O)C1C
